Date,Open,High,Low,Close,Volume
04/13/2021,"16.33","16.33","16.33","16.33","23,576"
04/09/2021,"16.33","16.33","16.33","16.33","5,370"
04/08/2021,"16.33","16.33","16.33","16.33","6,132"
04/07/2021,"16.20","16.20","16.20","16.20","10"
04/06/2021,"16.10","16.10","16.10","16.10","164"
03/31/2021,"16.10","16.10","16.10","16.10","175"
03/29/2021,"16.20","16.20","16.20","16.20","81"
03/26/2021,"16.17","16.21","16.10","16.17","3,980"
03/24/2021,"16.20","16.28","16.20","16.20","1,001"
03/23/2021,"16.00","16.00","16.00","16.00","15,580"
03/18/2021,"16.25","16.28","16.25","16.25","2,182"
03/16/2021,"16.13","16.28","16.10","16.13","1,162"
03/15/2021,"16.29","16.29","16.28","16.29","90"
03/12/2021,"16.29","16.30","16.29","16.29","429"
03/09/2021,"16.29","16.30","16.28","16.29","178"
03/08/2021,"16.28","16.28","16.28","16.28","300"
03/03/2021,"16.30","16.30","16.30","16.30","1,549"
03/02/2021,"16.30","16.30","16.30","16.30","291"
03/01/2021,"16.30","16.30","16.30","16.30","10"
02/24/2021,"16.33","16.33","16.32","16.33","1,000"
02/23/2021,"16.25","16.25","16.25","16.25","66"
02/22/2021,"16.33","16.40","16.25","16.33","13,373"
02/17/2021,"16.49","16.49","16.49","16.49","197"
02/16/2021,"16.40","16.40","16.40","16.40","20"
02/11/2021,"16.49","16.49","16.45","16.49","4,800"
02/10/2021,"16.45","16.45","16.45","16.45","1"
02/05/2021,"16.50","16.50","16.50","16.50","3,000"
02/04/2021,"16.50","16.50","16.50","16.50","90"
02/03/2021,"16.50","16.50","16.50","16.50","1,000"
02/02/2021,"16.58","16.64","16.50","16.58","4,846"
02/01/2021,"16.64","16.64","16.64","16.64","133"
01/29/2021,"16.64","16.65","16.64","16.64","420"
01/28/2021,"16.70","16.70","16.70","16.70","179"
01/26/2021,"16.70","16.70","16.70","16.70","58"
01/22/2021,"16.70","16.70","16.70","16.70","3,059"
01/19/2021,"16.64","16.70","16.63","16.64","2,347"
01/18/2021,"16.70","16.70","16.70","16.70","545"
01/15/2021,"16.70","16.70","16.70","16.70","15,169"
01/14/2021,"16.70","16.70","16.70","16.70","12,000"
01/13/2021,"16.70","16.70","16.70","16.70","55"
01/05/2021,"16.69","16.70","16.68","16.69","2,787"
01/04/2021,"16.69","16.70","16.65","16.69","240"
12/30/2020,"16.65","16.70","16.65","16.65","101,000"
12/29/2020,"16.70","16.70","16.70","16.70","576"
12/21/2020,"16.63","16.70","16.60","16.63","2,191"
12/10/2020,"16.60","16.60","16.60","16.60","133"
12/09/2020,"16.70","16.70","16.70","16.70","103"
12/04/2020,"16.70","16.70","16.70","16.70","150"
12/02/2020,"16.70","16.70","16.70","16.70","300"
11/30/2020,"16.70","16.70","16.70","16.70","150"
11/27/2020,"16.70","16.70","16.70","16.70","3,541"
11/26/2020,"16.70","16.70","16.70","16.70","299"
11/23/2020,"16.79","16.79","16.79","16.79","100"
11/20/2020,"16.80","16.80","16.80","16.80","300"
11/17/2020,"16.80","16.85","16.80","16.80","3,266"
11/12/2020,"16.80","16.80","16.80","16.80","100"
11/11/2020,"16.80","16.80","16.80","16.80","3,360"
